,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8078888888888889,0.6932153392330384,0.2360622802611753,0.3521918321468715,0.715023533995432
Random Forest,0.8157777777777778,0.646180860403863,0.36966348568558516,0.47028753993610223,0.758976637556979
