Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7787777777777778,0.0,0.0,0.0,0.5002511300853842
Random Forest,0.8157777777777778,0.646180860403863,0.36966348568558516,0.47028753993610223,0.758976637556979
